location,total_deaths
Chad,190.0
Anguilla,10.0
Afghanistan,7619.0
Cambodia,3040.0
Africa,248969.0
British Virgin Islands,62.0
Algeria,6853.0
Argentina,126708.0
Angola,1903.0
Belgium,30376.0
Bonaire Sint Eustatius and Saba,33.0
Albania,3478.0
Benin,163.0
Bahamas,771.0
China,4640.0
Belarus,6550.0
Chile,43168.0
Cayman Islands,17.0
Burundi,38.0
Andorra,151.0
Bolivia,21455.0
Central African Republic,113.0
Bangladesh,29077.0
Barbados,319.0
Bhutan,7.0
Cape Verde,402.0
Aruba,213.0
Azerbaijan,9500.0
Armenia,8530.0
Brunei,140.0
Canada,36998.0
Belize,655.0
Brazil,651047.0
Antigua and Barbuda,135.0
Botswana,2619.0
Asia,1357219.0
Bosnia and Herzegovina,15541.0
Australia,5273.0
Cameroon,1926.0
Bulgaria,35811.0
Austria,15000.0
Burkina Faso,375.0
Bermuda,123.0
Bahrain,1514.0
Eritrea,103.0
Djibouti,189.0
Comoros,161.0
Dominica,58.0
Equatorial Guinea,183.0
Ecuador,22510.0
Curacao,264.0
Croatia,15194.0
Cuba,8500.0
Czechia,38773.0
Denmark,4775.0
Congo,409.0
Cyprus,875.0
Cote d'Ivoire,794.0
Estonia,692.0
Cook Islands,
Dominican Republic,4371.0
Costa Rica,8082.0
Egypt,24172.0
El Salvador,4071.0
Colombia,139037.0
Democratic Republic of Congo,1335.0
